Title,Author,Date,Review,Rating
"Beautiful & Impactful, Recreation of the Sinking Magnificent, Winslet & DiCaprio Excellent",Dan_W_Reviews,14 February 2023,"Titanic tells the story of the tragic sinking of the Titanic, as well as the ill-fated love affair of 3rd Class Passenger Jack and Aristocratic Rose. Firstly the film's special effects are magnificent, especially the recreation of the Titanic sinking, which is seriously impressive and greatly add to the film's overall impact. The film's sweeping score and the very memorable love theme, My Heart Will Go On, by Celine Dion, are indispensable parts of the film's beauty.The performances of the are also excellent, with the leads DiCaprio and Winslet delivering truly heartfelt and memorable performances. The film's portrayal of the societal norms of the time and the class divide on the Titanic adds just that extra layer of depth to the film that most others lack and makes it more than just a love story.I'd recommend Titanic to any fans of romantic dramas and anyone who loves a good historical movies. The stunning visuals, the memorable music, and the heartfelt performances make it an enduring classic.",8/10
Beautiful and tragic,krishdaggins,13 March 2019,This film goes down in history as one of the best based on a true historical event. You'll feel the pain of the characters as the ship sinks. It's truly a human tragedy,9/10
A must see,Unicornbaby95,6 July 2023,"I find this movie to be a bit of a childhood favourite of mine when it first was brought to me by my mother to watch this movie. I watched it on repeat throughout the entire day, and that is seriously considering that it is a three hour long movie.I felt a very strong connection between the two main characters being Jack and Rose, and having a strong opinion about the time period and what they were both challenged with in their lives and the way that they found oneAnother is truly beautiful.There are a lot of intense scenes that if you are an emotional person that really connects with the characters and the storyline, and also with the knowledge that it is based on true events, there may be a few confronting seems that will definitely pull out your heart strings.",9/10
What an achievement!,ronakkotian,15 July 2019,"James Cameron's Titanic was something else. It's amazing to think how this movie came out in 1997. Titanic is a film that many will remember that broke ground. Not just for the actors involved but for filmmaking in general.Titanic is very, very well made. You can clearly tell that this was a passion project for James Cameron. He wanted to make this movie special and he has. The amount of research that Cameron had to do to make the film look realistic is evident.The entire set is a whole world in itself. Cameron's direction transports us to ins and outs of the ship which all look so beautiful. The atmosphere and grandness of the ship sticks with you especially during the inevitable sinking scene where you can feel the terror and panic aboard. The cinematography is pure brilliance. The ship has a very elegant feel and the set design and costumes from the inside also adds to that feeling. Visually, this is one the best looking films of all time.The acting was sublime all through the film. Leonardo DiCaprio and Kate Winslet are in top form and have some of the best chemistry in a film ever. Their romance seemed so believable that I never felt bored during it. The supporting cast are also great, especially Billy Zane.I have to give immense praise to James Cameron for handling this film. He took a lot of time researching and working to make this movie the grand spectacle it is and feel as accurate as possible to the real incident. Whilst some think this film is overrated, you cannot deny the sheer effort that went into crafting this movie.",9/10
A legendary film for all time,alekspredator87,27 July 2022,"James Cameron's ""Titanic"" is undoubtedly an epoch-making movie created by a master director. The picture is one of three that took 11 Academy Awards at once, including the best film, direction, cinematography, sound and visual effects. This is an excellent indicator of how high-quality the film came out from all sides of consideration.For decades after the release of the film, the film has acquired the most interesting facts about the filming and about the most legendary sunken liner. This is the creation of a mock-up of a ship in 75 percent of the size of the real ship, a mirror image of the liner on the motion picture at the time of the ship's departure due to the fact that the layout was made only on one side of the Titanic, and the real ship was moored by the other side, a huge picture budget of 200 million US dollars, which turned out to be more than the construction of the liner itself at the prices of 1997 and much more. However, the picture is remembered not at all by these statistical data, which can not be found even today. ""Titanic"" takes an unprecedented love story of two young people, a story that was so carefully and accurately placed in real events on a huge ship that launched in April 1912 on its first and, unfortunately, its last journey.James Cameron approached this project already being a masterful director and screenwriter. He created his project so as to please, it seems, everyone. Many genres are closely intertwined in the film. ""Titanic"" is a drama, a thriller, a disaster movie. Attention was paid to every detail. After all, we know how seriously Cameron approaches his work and demands the same serious approach from his subordinates. Probably, creating the ""Titanic"", otherwise it would be impossible to do. Then the world would not have seen this masterpiece, which can be admired even decades later.In addition to the global production, the gorgeous visual component and the magnificent soundtrack from James Horner, it is necessary to mention the well-chosen actors. Each of the characters allows you to reveal the acting talent of the artists. Actors also endow their characters with an unprecedented energy, which you definitely get into. You believe the actors, you believe in the fate of their heroes, in their decisions, which will necessarily lead to certain consequences.Of course, the acting works of Leonardo DiCaprio and Kate Winslet stand apart here. Their pair on the screen looks great. The chemistry between the actors is felt, thereby allowing the characters to become truly close to each other, even in the short few days that they have known each other. Maybe this kind of love is from the category of fiction, but it is a work of fiction. Let it be so - love at first sight, which teaches viewers to be selfless for the sake of their loved ones and loved ones.Leo and his Jack Dawson shine on the screen. DiCaprio allows you to enjoy the variety of his acting skills in three hours of the film. His character evolves from an ordinary flighty 19-year-old to a person who knows how to make responsible decisions, who is ready to save the life of a loved one and knows how to do it.Kate in the role of Rose gives an opportunity to see the difficult fate of a young person already engaged at the age of 17, who does not yet understand what kind of life she can enter by marrying an essentially unloved person. For Rose, getting to know Jack becomes a kind of push to rethink everything, to understand that she does not need the rich life she is used to, she wants something else. Sometimes it is very important to see yourself from the outside in time, especially if this allows you not to pass the point of no return, which will determine your future fate.Other characters performed by Billy Zane, Kathy Bates, Frances Fisher, Gloria Stewart, Bernard Hill, Evan Stewart and others are also good. I would like to mention literally everyone, because the actors gave unforgettable images of the characters, regardless of their screen time and influence on the plot. A decent game allows you to really believe in everything that happens on the ship.The story of the drama and the relationship between the main characters may seem naive to someone. Feelings that suddenly flared up, a short period of time for their development. All this may well resemble a kind of falling in love, rather than real feelings. Especially if we talk about young people who have not yet gained life experience and are quite capable and even ready to make mistakes. Well, let it be. It's a movie. It is important to understand something else. This is a general picture and a story that is placed in a certain situation. What if the shipwreck hadn't happened? How would two lovers live on? Would they have coped with the test of their feelings with time? There are many other questions. It is quite possible that nothing would have come of this pair. However, it is important that their age, worldview, more naive thoughts due to just the same age led to the fact that the story became legendary for the audience. A kind of analogue of Romeo and Juliet. After all, it was thanks to their actions that each of them learned true love, the desire to save each other. The catastrophe that happened on the ship forced us to make fateful decisions, to take responsibility. That's what's important.As a result, the audience got a great story that will forever remain in the hearts of people. The majestic liner ""Titanic"", the way to the New World, unprecedented love, a heartbreaking catastrophe and an endless sense of bitterness, which, it seems, could not escape from those who survived this shipwreck and were able to stay alive. After all, one way or another, they remained with themselves and in front of thousands of faces of those who could not get out of that terrible story alive.""Titanic"" is a legendary project by James Cameron, which makes people of different generations look at this story as something that warms the soul. After all, even in the face of a deadly catastrophe, people can fall in love with each other, become worthy saviors and remain in memory throughout the lives of those they saved.10 out of 10.",10/10
the last straw,MrsRainbow,19 January 1999,"This film and the adoration it has received from viewers and reviewers alike is one of the dominant reasons why I have decided not to attend any American made films this year. My reasons are too numerous and strongly felt to be reduced to 1,000 words. I think that this picture itself can take the place of my 1,000 words of disgust with James Cameron and the American film industry.",7/10
"With better characters, the romance might actually merit the running time",Mr-Fusion,8 September 2017,"Well, it's not ""Avatar"" levels of disappointment, but ""Titanic"" is far from Cameron's best work. Don't get me wrong, there's a great disaster epic here, but you've gotta work for it. The actual iceberg doesn't appear until 100 minutes in. A hundred. That's a lot of forced love story to slog through before real dread starts to build. And the less said about that song, the better.This isn't a bad movie, and it's technically proficient when the effects take center stage. When it's actually about White Star Line's monumental hubris, and the destruction raining down (or washing in) the spectacle lives up to the director's name. But the rest of it . . . 5/10",5/10
A Masterclass of Filming,enzofabrizioaa-80346,6 March 2023,"When I first watched 'Titanic' I was just a 13-year-old boy and beacme fascinted with the whole 'universe' James Cameron created. It´s 2023 and I could finally rewatch this movie, now in the big screen with the 25th anniversary release, and there are no better words to define this experince than: mind-blowing. In a world with James Cameron, it's still worth it go to the cinema.The acting and the plot, which are greatly influenced by the 'melodrama techinique'; the photography, that made us travel beyond classes, seas and intimate moments; the unforgetable soundtrack; the stage elements... and what could I say about the Titanic replica created for the movie? Everything in this movie feels so right, loved, connected and well-made.Titanic is a love letter to art, a good anomaly in the highest-grossing film list and a timeless work. Definitely a story that made me cry, vibrate for the protagonists and that marked my heart.",10/10
American Women Love the Bad Boy,lavaside-60237,16 July 2023,"It's funny people think this is such a great story - when the spoiled rich girl 'falling for the bad kid' - mad because she's being 'forced to marry the good guy' - is the longest running cliche in Hollywood. LOL
TV to movies.It just takes place on the Titanic.With that said, as far as quality film making goes, this one checks off all the boxes.I will say, since the advent of hidefinition, you can REALLY see the CGI in this, now. It wasn't as obvious when first released.Seriously, 9 out of 10 'stories for chicks' is this exact same story.Really think about it.From Casablanca to Aladdin - they all have the 'bad boys are more attractive' as the theme.It's no wonder American women are so screwed up.Even the men, for that matter.Who wants to be the guy who doesn't get the girl? Lol
When your sons choose to be outlaws instead of doctors - don't ask yourself why.Even with something as masterfully done as Titanic - I refuse to give this tired cliche higher than a 7.",7/10
Bloated *Epic* With Fictionalized Love Story,ScottAmundsen,19 December 2010,"I detested this movie so much when I first saw it that I really wanted to give it one star, but as bad as I still think it is, it is fairly well-made and at least the technical department earned their salaries here (though quite frankly I thought that some of the CGI effects screamed ""FAKE!"" louder than the scale models used by Roy Ward Baker in 1958's A NIGHT TO REMEMBER). What sinks this movie for me (pun very much intended) is the fictional love story forcibly inserted by Cameron, doubtless with the cynical intention of attracting teenage girls. Which it did. By the millions.When Oscar time rolled around, Hollywood apparently decided that 1997 was the year to call the movie that made the most money *Best Picture,* to say nothing of the other ten Oscars it won, plus three nominations. Now I have not seen every movie ever to win the Best Picture Oscar, but of all the ones I have seen, this one has to be the least deserving of the honor.For starters, aside from the fictional romance, there is nothing new here. I made mention above of Roy Ward Baker's 1958 film A NIGHT TO REMEMBER, which is THE definitive dramatic film about the Titanic disaster: there are no fictional characters, no romantic heroes or heroines; Baker chose to tell the story plainly, in an almost documentary fashion that still carries a huge wallop fifty-two years later.Cameron's film, by comparison, though it is wonderful to look at (obviously no expense was spared, from costumes to special effects), is a curiously cold and uninvolving piece of work except for when Leo and Kate are on the screen. Cameron's fatal mistake was that he forgot that the Titanic disaster was a real-life human drama; Roy Ward Baker knew this, and his film, fully an hour-and-a-half SHORTER than this one, yet manages to show the terrible loss of humanity of all classes that terrible night. Cameron's film has little feeling for any of the subsidiary characters, with a couple of exceptions, such as a lusty Kathy Bates, delightful as the unsinkable Molly Brown, and Gloria Stuart, who at eighty-eight came out of retirement to play Rose at age one hundred-one.Unfortunately these bright spots are too far and few between in a much- too-long movie that cannot escape the fact that the central romance is uninteresting at best, and irritating at worst. Cameron shows a shameless disregard for his actors in this film. Leonardo DiCaprio is not the least bit convincing as a young man from 1912; he comes across as a typical California brat who grew up eating Sugar Pops. Kate Winslet, a terrific actress, is horribly misused here; left to her own devices, she often fails to find the right notes, most noticeably towards the end, when she and Leo climb the ship to the near-vertical stern, and she turns to him and squeals, ""This is where we first met!"" The line is awful in and of itself, especially in the context of that moment, but had she delivered it with tears streaming down her cheeks and a great deal of pathos, it might have been palatable. Instead, she sounds like a teenage girl going to a high-school dance.There are a few other good performances in the supporting cast in addition to the two I have mentioned, but unfortunately they and the rest of what was a true-life story of hubris, heroics, class divisions, and self-sacrifice, are buried under the cheap date-movie romance that Cameron inserted. I'll give him credit for one thing: he knew that the love story was what would keep the viewers coming back; had he chosen to simply tell the true story, I don't know if the film would have sunk faster than the ship did, but it most certainly would not have gotten all the undeserved acclaim that it did.If you haven't seen A NIGHT TO REMEMBER yet, get it. Compare the two and see the difference honest storytelling can make to a movie.",3/10
A historical and memorable film,johnny-89987,27 January 2021,"It's really unfortunate when you see a movie as big and good as the Titanic and not in the top 250, while some of the other movies are weaker than this movie on this list, and that's not good. 10/10",10/10
An incredibly beautiful movie that holds up on every watch,Dragoneyed363,16 May 2008,"There are many who say Titanic is ""overrated"", ""over-hyped"" or some might inexplicably go as far to say ""boring"" and ""pointless"". The hardly arguable biggest blockbuster of the 90s, grossing near 2 billion at the box office and winning 11 Academy Awards including Best Picture, has attained some hate from people over the years, people who love to hate this movie for everything they so wrongly think it is not and never will be. It has, however, attained a very positive social status among a lot of people whom their hearts were captured by this masterpiece. Those people can see just how magnificent of a movie this really is, and how underrated a classic it appears to be in today's film society; a dazzling and striking accomplishment in itself and never overlooked, but unfairly maligned by many.The movie, aside from being set on the Titanic and called Titanic, actually has a love story that renders up most of the movie time, as most would already know. This love story, is positively brilliant in every sense of the word. I am always amazed and captivated to watch it play out on screen, because Leonardo DiCaprio and Kate Winslet, who were furiously snubbed out of Best Actor/Actress awards, have wonderful chemistry, giving me chills in lots of scenes, and they both separately give incredulous performances that enthrall and charm every step of the way as well. These two characters' strong likability, along with James Cameron's directing and the entirely fascinating special effects make this movie something much more than mere entertainment. The movie is excellently executed in the best manner it could be, the Bill Paxton and Gloria Stuart present day story being very interesting as well, and a lot of the film's aspects are quite simply riveting and awe-inspiring whether it's the love story, the intensity in all the performances or the infamous, brilliantly portrayed sinking and sets that give true heart to the story of the Titanic and shows it's revelation quite undeniably like any other film on the subject.While ""My Heart Will Go On"", receiving the Academy Award for Best Original Song, has attained some criticism from people as well, it makes the perfect score and theme song for every scene it is used in regarding the movie, especially the climax, which has had millions in tears, had me in tears, and always has me in tears when I watch it, even if it is not the saddest movie of all time, because it isn't. It's a film about love, a film about disaster, a film about memories, and it is beautifully shown how all of those three attributes tie into peoples' lives, but I am not melancholy, I am merely pleased with how stunning of a film it is, and how remarkably well it has held up over the years, not being overthrown by any blockbusters in recent years in likes of quality, in my honest opinion. James Cameron, even if not one of my favorite directors, is very talented and it shows with this movie. I do not understand a lot of the reasons why so many hate this, or do not find it as remarkable of a film as fans like me do, but I ensure you, this movie will always have a place in my heart, and will go down as a classic, already has even and will contine to whether haters like it or not, because of how many people were touched by it and are still touched by it. Underrated, powerful, breath-taking movie that, since holding up in quality on every watch, I intend to love for many more years to come.",10/10
Pop culture perfection,guskeller,8 February 2022,"Titanic is pop culture perfection. It's everything wide audiences crave and has elite craft. Even the writing (its weakest aspect) is fair. The love story is generic, but it's efficient and accents the dramatic disaster. In some ways, that romance is just right because the setting is already complex. More nuance could've overly complicated the film. Sometimes, simplicity is not only desired by audiences, but also required by circumstances. Meanwhile, the acting is quality. Leo is fine, Winslet is great, and the supporting cast is strong. All together, this provides the ideal amount of emotional investment to synergize with Titanic's grand spectacle.Despite Titanic's sentimentality, its filmmaking is its core. Each ingredient supports a sense of grandeur that elevates the experience. The steady camerawork is constantly sweeping, emphasizing the ship's scale and heightening the action. The elaborate sound symbolically amplifies the daunting ocean and immense tragedy. The editing begins gracefully and smoothly builds energy during the chaos. The music is iconic, elegant, and fitting. The production is incredibly elaborate and detailed. The effects are dedicated, real, and versatile. Lastly, the passionate direction wholly commits to authenticity, emotion, and excitement, making Titanic a truly captivating experience. Ultimately, Titanic has it all.Writing: 7/10
Direction: 10/10
Cinematography: 9/10
Acting: 8/10
Editing: 9/10
Sound: 10/10
Score/Soundtrack: 10/10
Production Design: 10/10
Casting: 10/10
Effects: 10/10Overall Score: 9.3/10.",9/10
Incredible Movie Making,TheRothOfKhan,7 December 2019,"An absolutely spellbinding film that still holds up over 20 years later. I first saw this as a 12-year-old in 1997 and recall being utterly captivated by the story, the imagery, the characters, the score and the sheer spectacle of it all. 'Titanic' was an event, not just a film. There was nothing like it before, and there has been nothing like it since.
Leonardo di Caprio and Kate Winslet, both relatively unknown actors at the time of the film's original release, shine as Jack and Rose, two young people from opposite ends of the social spectrum who are brought together by fate against the backdrop of one of history's greatest tragedies. Winslet steals every scene with her portrayal of a deeply unhappy woman thrust into an engagement of convenience at the behest of her domineering mother, only finding happiness and her true self when she crosses paths with di Caprio's Jack Dawson. Tragedy inevitably strikes however, and it becomes a fight for survival as the great ship Titanic founders. For all of the special effects, it is the chemistry between Winslet and di Caprio that drives the film. If you have ever become infatuated with someone in a very short space of time, then it is very easy to relate to the relationship between Jack and Rose. They perfectly capture the intensity of infatuation and the recklessness of youth. Other excellent characters include Billy Zane's charming but abrasive Cal Hockley, Frances Fisher's sneering Ruth Dewitt Bukater and Kathy Bates' bolshy Molly Brown. Finally, the great Gloria Stewart portrays 'old' Rose with such sincerity and heart that it is difficult to believe she didn't live through all of this in real life.",10/10
All for sets and costuming,mls4182,30 May 2023,"The attention to detail on the sets and scale models is Oscar worthy. The same can be said about consuming.The writing is abysmal. James Cameron makes his points with a sledgehammer. Every word of dialogue is exposition.The fictional romance between Jack and Rose is nausea inducing. He goes overboard trying to establish Jack as a cool, brave, daredevil bad boy. He's actually a loser with nothing to give a woman. Rose is portrayed as a very proper young lady with an enviable pedigree yet one that should be resented because of privilege. One would think a teenager wrote this screepllay. Even Molly Brown comes across as stale.Again, try to ignore this and focus of the sets and costuming.",7/10
Has Flaws But Is Still Very Good.,Ggconte,14 June 2022,"Being a huge follower of the story of Titanic and it's tragic history, this was a movie that stood out to me from day one of its development. Most films or shows that were about the ship only told the story of the sinking without really going into too much detail about the voyage itself. Director and Writer James Cameron really wanted to change this approach and tell the most detailed story of the ship ever presented in film.The story centers around a fictional survivor named Rose, who is telling her story to a group of archeologists who are out the find a long lost diamond believed to have belonged to her but is also believed to have gone down with the ship. Rose was a first class passenger who was set to marry a wealthy man to whom she did not love. She meets a man named Jack Dawson, whom she falls in love with, creating a dangerous jealous attitude with her possessive fiancé. Through their eyes, we see the voyage of Titanic and meet many of the historical figures that were on the ship.I think it goes without saying that James Cameron is one of the best Directors/Writers in Hollywood and when he commits to a project he is far from lazy with his filmmaking and style. Titanic is no exception and this man built every remade setting and room from the ship that would be featured in the film to exact detail, right down to the tiniest spec. He then rebuilt the entire 800+ foot exterior of the ship, which is just insane. He also went down to see the actual wreck to research and gather footage.I do like the level of detail that Cameron presents about the ship within the film. I don't think any other director would have had the skill or patience to pull this story off.As detailed as the movie is, one flaw that this film does repeat from other Titanic films is featuring a fictional plot in the middle of this true story.The love story between Jack and Rose (Leonardo DiCaprio and Kate Winslet) has its moments but comes off as almost George Lucas' writing style for quite a bit of it. The element that saves it for the most part is the chemistry between DiCaprio and Winslet. It's really that chemistry that almost helps you ignore that they say each other's names about 50,000 times in this film.Also, incorporating a villain into the story is a bit overdone with the character of Caledon (Billy Zane) being very over the top.However, as I stated before, where Cameron doesn't miss with this movie is the story of Titanic itself. Cameron goes over the obvious about the ship but also goes through details that weren't ever explained in film before, for instance Thomas Andrews and Bruce Ismay are given far more story than in previous films and the ships voyage itself is incredibly detailed.However, there may be no other film that has a more real or suspenseful sinking. Cameron goes to great lengths, through practical and digital effects, to recreate the sinking. A sequence that still looks tremendous to this day.The sinking takes up almost two hours of the three in this movie and it is one of the most emotional sequences I've ever seen in film. Once it's over and old Rose (Gloria Stuart) is on screen discussing how few were saved from the water, that hits so hard.Also, as mixed opinionated as I am over the love story, it does lead to a very heart wrenching ending.The acting is simply tremendous. This is a near perfect cast that really elevates the film.The musical score is also unique. The late James Horner composed the score for the film and while it can come off as a bit poppy at times, it is tremendous as well.So overall, I'm polarized over the fictional element of the film but the story of the ship itself is amazing. Its one of those films that you really have to see at least once.",8/10
"Good, but overrated.",Boba_Fett1138,25 November 2002,"I saw the movie for the first time when it arrived on video, needless to say that I had very high expectations for this movie because I heard a lot about it. I watched the movie and I remembered my first reaction when I finished watching it, my reaction was: ""This is it?"" Don't get me wrong, it's not a bad movie, not at all. But I was disappointed about it all and it just didn't met my expectations.Everybody knows the true story about the ship the ""Titanic"" and there are many movies/series made about it already. New about this movie is the love story. It's always dangerous to put a love story in a movie because if the love story doesn't work the movie doesn't work. The love story does work for most parts in this movie, except for some scene's in which I just don't buy it.Although the movie is very long it doesn't really ever get boring, which is of course a good thing. The best part of the movie is the sinking and you can see that James Cameron is really one of the best Action directors in the business.The acting isn't great but not bad either. The special effects look good with the exception of a few needless scene's. The movie is also full of visual mistakes (for instance you can clearly see the camera in a scene, which is a HUGE mistake that I noticed on my first viewing) and the characters in my opinion aren't really interesting enough.Although the movie got more credit then it really deserved I can still recommend this movie to everybody. Good but not perfect...7/10http://bobafett1138.blogspot.com/",7/10
"Your usual James Cameron movie - all style, no substance",grantss,18 April 2016,"A typical James Cameron movie, i.e. all style, no substance, and excruciatingly long. Plot is basic - love story set against the Titanic tragedy, that's it. Just basically drifts for 3.25 hours around that central plot. The direction is all about the amazing special effects, another Cameron trademark.On the plus side, Leonardo DiCaprio and Kate Winslet are excellent in the lead roles, and their interaction is spot-on. This movie pretty much launched their careers (well, in DiCaprio's case, shifted it up several notches).",5/10
Watching This........I Got a Sinking Feeling,werefox08,6 July 2012,"Technically this can hardly be faulted. As a spectacle...its very good. For a three hours plus movie it moves along ..OK. There are however, major problems with Titanic. (its NOT un-sinkable !!) The two leads Kate Winslet and Leonardo Di Caprio cant sustain a hot romance throughout the entire movie...indeed the chemistry is never quite right between the two.(Di Caprio in particular is ""out of his depth"" here) Both actors (even apart from the relationship problem) are not at their best. Perhaps the gigantic nature of the project ""got to them"".The supporting cast play this...like they are on a ship that will hit a huge ice berg. The dialogue is another problem. It lacks any feeling or spontaneity, and some of the language sounds too modern. The hype surrounding this movie before release was incredible (garaunteeing a successful picture) If your happy with technology and amazing special effects...this is your movie. But don't look too close....there are cracks here....",4/10
The most undeserving of praise in the history of film,ToldYaSo,9 May 1999,"What I think I'll probably like best about the new Star Wars film, ""Phantom Menace"", is that it will likely blow ""Titanic"" out of the water, if you'll pardon the pun, when it comes to sheer devastating box office receipts, and thereby knock it out of the number one spot. Every time I hear someone declare ""Titanic"" is the greatest film they've ever seen, I think to myself, ""You don't see a lot of movies, do you?"" What a travesty. You could make 50 good films that are a lot better than ""Titanic"", and for the same price tag.""Well, it won lots of academy awards, lots of people really loved it,"" as someone might say in its defence. Well, lots of people like the Spice Girls and billions and billions of people eat at McDonald's, but that doesn't mean it's high quality. Yes, millions of Elvis fans CAN be wrong.I'll be the first to admit, that part of the problem for me was the mega-hype over the film. I waited a month or so to see it and ultimately, it didn't live up to the expectations set upon it, which simply called more attention to the appallingly stupid love story. It's true, ""Phantom Menace"" will likely suffer a similar fate. but.James Cameron's ""Titanic"" is. a)  a cheesy action flick thinly disguised as a serious period piece. b)  a three-hour epic that has it's finest moments given away in the trailer. c)  a sappy love story beyond belief or entertainment. d)  something left better to documentarians, which I would've enjoyed much more. e)  a film with arrogance that lives up to the level demonstrated with the real ship. f)  a  robbery of 3 hours that I will never get back, therefore the greatest motivation for a time machine I can think of. When I meet someone who hasn't seen it yet, I say, ""I wish I could trade places with you."" g)  a slap in the face to any genuine victim of hypothermia. How long are we supposed to believe that people can be immersed in freezing cold water and still form intelligible sentences? h)  thankfully a film that wasn't recognized for any acting achievements at the Oscars. i)  a technological achievement in filmmaking, and little else.The only reason I post this as a anonymous comment is I do NOT welcome the rebuttal of 10,000 thirteen year old Leonardo DiCaprio fans who'll no doubt come to his defense, and I am not really interested in hearing a defense of Titanic's story, acting or length.",1/10
The King Of The World meets The Bitch Of The Sea.,dunmore_ego,27 May 2006,"Let's get one thing straight before we embark on this perilous journey into Hollywood History: the only ""truth"" in this movie is that the RMS Titanic did sink in April 1912 and that Leonardo DiCaprio is prettier than Kate Winslet. Everything else in James Cameron's *Titanic* is marshmallow fancy.Movie opens in the modern Atlantic, with a Titanic salvage crew helmed by amiable Brock Lovett (sun-weathered Bill Paxton), who haul surfaceward some intriguing artifacts. 84-year-old Rose (Gloria Stuart) claims she was a Titanic passenger, so is brought aboard Lovett's vessel to provide information.In a cheeky foreshadowing of the breath-hammering visuals to come, Lovett's crewmate outlines Titanic's death throes, aided by computer graphics (probably the selfsame graphics that the actual movie used as storyboard for its final visuals), before Lovett asks Rose for a firsthand account of the RMS Titanic and she, in a rheumy Percodan haze, starts relating a chick flick with Leonardo DiCaprio and Kate Winslet.And under the chick flick, the film's main premise - a story of White Pride, sautéed in eleven million gallons of seawater.Rose's narration is the anomaly that eats at this film's verisimilitude: though we humor her spinning her tale of irrelevant romantic rhetoric, when it comes to events outside her sphere of experience (such as private meetings between the captain and crew), she relates them as if omniscient (if we are to regard all the film's action aboard Titanic as her testimony). Even the iceberg impact is comprehensively covered from all angles (from the lookouts, to the bridge, to the engine room, captain and crowd) by Rose's ""flashback."" Not bad for someone who was backseat bonking her body-shaved boy-man at the time.Rose laments that she ""doesn't even have a picture of Jack,"" her steerage-class lover (Leonardo DiCaprio). Maybe that's why she remembers him as so staggeringly beautiful.It's a pity that writer-director Cameron leaned so heavily on the vapid love story as this movie's propeller, as the rest of the film is a chest-clenching stunner.The grandeur of the Royal Mail Ship Titanic is beautifully captured in its restored filmic incarnation. Costuming, characters and exterior shots are paid the utmost detail  although it must be said that, historically at least, DiCaprio's character (Jack) was probably treading a time period more acquainted with the use of recreational drugs with his yells of ""Woooo!"" from the ship's prow. His friend, Fabrizio (Danny Nucci), didn't help with the authenticity; supplied by a casting agency specializing in Ethnic Stereotypes, Nucci is about as Italian as a Domino's Pizza, sporting the absolute worst ""Movie Italian"" accent of all time  the exact same accent my friends and I would adopt in the schoolyard when we were ""pretending to be Italian."" Winning their tickets in a card game, Jack and Fabrizio are overjoyed even in their steerage quarters Whilst above the water line, onto the first class decks desultorily rambles Rose (Kate Winslet) with her demanding mother (Frances Fisher), stormy fiancé (Billy Zane) and luggage enough to kill three pack-elephants. Elbow-gloved and triple-corseted, she remarks via voice-over, ""To me it was a slave ship, taking me back to America in chains."" Try telling that to an African-American, honey, in your big feathery hat and frothy bloomers.Meeting Jack during a spoiled brat suicide attempt, Rose is drawn to his vagabond swagger and hairless torso, falling for idiot lines like, ""You've got a fire inside you and I'd hate to see it go out."" (George Lucas wrote that one.) The film world does not communicate ""smell."" The super-privileged have a way of ""deodorizing"" themselves that is wholly alien to the super-poor. Hence, no matter how much prettier Jack is than Rose, as soon as she stood downwind of his below-decks stench, the romance would have come to an earthy halt (retching optional).Instead, Jack is invited to sup with the pinky-raisers, where he blathers about his itinerant lifestyle as if it was a blessing; living the devil-may-care bum's life of cobbling his sustenance from whatever rat-brained scheme comes along, and literally not knowing ""where he'll be sleeping the next night"" may be a romantic notion if you are a successful writer or an independently wealthy traveler  but not if you are, in fact, a REAL BUM.An ocean liner has to sink before Rose lets go of this vagrant (whilst staying in Spoiled Byoch character by selfishly hogging the one floating plank in all of the Atlantic).A well-made, mind-numbing romance this cheesy usually scores low  but Cameron gained his points purely due to his magnificent boat-tipping.The climax of *Titanic* is a startling visualization of an historic event which no one alive on earth today saw first hand. Drawing from the latest forensic knowledge, combined with the physics of the process, Cameron places us directly on deck during his nightmare vision. We see the situation mount, from berg impact and apathy, to incredulity and ultimately panic, capturing the violent and colossal majesty of the ship breaking in half and pulling its aft section downwards vertically.The death throes of the RMS Titanic are astounding in their realism; we cannot help but compare the final scenes of *A Night To Remember*, with its wholly inaccurate, romantic portrayal of the doomed passengers aboard that black-and-white Titanic singing nobly together as their ship slipped away under them at a 45 degree angle. Not only is collective humanity never that level-headed, the physics of the sinking process was entirely ignored.With humanity onboard Cameron's boat ignobly screaming and selfishly grasping and punching and shooting and falling violently onto propeller blades, with smokestacks crushing passengers, decks splintering, cables whiplashing through foaming brine, and the final cataclysmic submersion at a vertiginous ninety-degree angle, Cameron's *Titanic* is  titanic!If even for a brief, awe-inspiring moment in time, it's good to be the King of the World.(Movie Maniacs, visit: www.poffysmoviemania.com)",7/10
